"","port","page","line","year","age","AgeErr","SEX","LENGTH","NETWT","RNDWT","AGE2","AGECONF","USER","BOATNAME","STATAREA","CAS","MONTH","DAY","SUB","LITHO"
"1","CCI",1,1,2008,NA,"","F",119,36.7,48.8,NA,NA,"Charter","BUTT CHASER",525931,NA,5,21,1,NA
"2","CCI",1,2,2008,NA,"","F",136,56.6,75.3,NA,NA,"Charter","BUTT CHASER",525931,NA,5,21,1,NA
"3","CCI",1,3,2008,NA,"","F",94,17.1,22.7,NA,NA,"Charter","BUTT CHASER",525931,NA,5,21,1,NA
"4","CCI",1,4,2008,6,"","F",64,4.9,6.5,NA,NA,"Charter","BUTT CHASER",525931,NA,5,21,1,NA
"5","CCI",1,5,2008,NA,"","F",67,5.7,7.6,NA,NA,"Charter","BUTT CHASER",525931,NA,5,21,1,NA
"6","CCI",1,6,2008,6,"","F",77,9,11.9,NA,NA,"Charter","BUTT CHASER",525931,NA,5,21,1,NA
"7","CCI",1,7,2008,8,"","F",87,13.3,17.7,NA,NA,"Charter","BUTT CHASER",525931,NA,5,21,1,NA
"8","CCI",1,8,2008,NA,"","F",69,6.3,8.4,NA,NA,"Charter","BUTT CHASER",525931,NA,5,21,1,NA
"9","CCI",1,9,2008,NA,"","F",72,7.2,9.6,NA,NA,"Charter","BUTT CHASER",525931,NA,5,21,1,NA
"10","CCI",1,10,2008,NA,"","F",76,8.6,11.4,NA,NA,"Charter","BUTT CHASER",525931,NA,5,21,1,NA
"11","CCI",2,1,2008,10,"","F",82,11,14.6,NA,NA,"Charter","LUCKY DOG",525931,NA,5,27,2,NA
"12","CCI",2,2,2008,NA,"","F",81,10.6,14,NA,NA,"Charter","LUCKY DOG",525931,NA,5,27,2,NA
"13","CCI",2,3,2008,10,"","F",84,11.9,15.8,NA,NA,"Charter","LUCKY DOG",525931,NA,5,27,2,NA
"14","CCI",2,4,2008,NA,"","F",93,16.5,22,NA,NA,"Charter","LUCKY DOG",525931,NA,5,27,2,NA
"15","CCI",2,5,2008,9,"","F",80,10.1,13.5,NA,NA,"Charter","LUCKY DOG",525931,NA,5,27,2,NA
"16","CCI",2,6,2008,NA,"","M",91,15.4,20.5,NA,NA,"Charter","LUCKY DOG",525931,NA,5,27,2,NA
"17","CCI",2,7,2008,NA,"","F",83,11.4,15.2,NA,NA,"Charter","LUCKY DOG",525931,NA,5,27,2,NA
"18","CCI",2,8,2008,NA,"","F",85,12.3,16.4,NA,NA,"Charter","LUCKY DOG",525931,NA,5,27,2,NA
"19","CCI",2,9,2008,NA,"","F",77,9,11.9,NA,NA,"Charter","LUCKY DOG",525931,NA,5,27,2,NA
"20","CCI",2,10,2008,NA,"","F",81,10.6,14,NA,NA,"Charter","LUCKY DOG",525931,NA,5,27,2,NA
"21","CCI",2,11,2008,NA,"","F",93,16.5,22,NA,NA,"Charter","CATCHER II",525931,NA,5,27,2,NA
"22","CCI",2,12,2008,11,"","F",100,20.9,27.8,NA,NA,"Charter","CATCHER II",525931,NA,5,27,2,NA
"23","CCI",2,13,2008,NA,"","F",91,15.4,20.5,NA,NA,"Charter","CATCHER II",525931,NA,5,27,2,NA
"24","CCI",2,14,2008,NA,"","F",94,17.1,22.7,NA,NA,"Charter","CATCHER II",525931,NA,5,27,2,NA
"25","CCI",2,15,2008,NA,"","F",104,23.7,31.6,NA,NA,"Charter","CATCHER II",525931,NA,5,27,2,NA
"26","CCI",2,16,2008,NA,"","F",93,16.5,22,NA,NA,"Charter","CATCHER II",525931,NA,5,27,2,NA
"27","CCI",2,17,2008,NA,"","F",83,11.4,15.2,NA,NA,"Charter","CATCHER II",525931,NA,5,27,2,NA
"28","CCI",2,18,2008,NA,"","F",81,10.6,14,NA,NA,"Charter","CATCHER II",525931,NA,5,27,2,NA
"29","CCI",2,19,2008,11,"","M",79,9.7,13,NA,NA,"Charter","MR FUNWYZER",525931,NA,5,27,2,NA
"30","CCI",2,20,2008,NA,"","F",91,15.4,20.5,NA,NA,"Charter","MR FUNWYZER",525931,NA,5,27,2,NA
"31","CCI",2,21,2008,NA,"","F",90,14.9,19.8,NA,NA,"Charter","MR FUNWYZER",525931,NA,5,27,2,NA
"32","CCI",2,22,2008,NA,"","F",96,18.3,24.4,NA,NA,"Charter","MR FUNWYZER",525931,NA,5,27,2,NA
"33","CCI",2,23,2008,NA,"","F",109,27.6,36.8,NA,NA,"Charter","MR FUNWYZER",525931,NA,5,27,2,NA
"34","CCI",2,24,2008,NA,"","F",81,10.6,14,NA,NA,"Charter","MR FUNWYZER",525931,NA,5,27,2,NA
"35","CCI",2,25,2008,NA,"","F",102,22.3,29.6,NA,NA,"Charter","MR FUNWYZER",525931,NA,5,27,2,NA
"36","CCI",2,26,2008,9,"","F",94,17.1,22.7,NA,NA,"Charter","MR FUNWYZER",525931,NA,5,27,2,NA
"37","CCI",2,27,2008,10,"","F",91,15.4,20.5,NA,NA,"Charter","MR FUNWYZER",525931,NA,5,27,2,NA
"38","CCI",2,28,2008,NA,"","F",83,11.4,15.2,NA,NA,"Charter","MR FUNWYZER",525931,NA,5,27,2,NA
"39","CCI",3,1,2008,NA,"","F",85,12.3,16.4,NA,NA,"Private","",NA,NA,5,28,1,NA
"40","CCI",3,2,2008,10,"","F",108,26.8,35.7,NA,NA,"Private","",NA,NA,5,28,1,NA
"41","CCI",3,3,2008,6,"","F",71,6.9,9.2,NA,NA,"Private","",NA,NA,5,28,1,NA
"42","CCI",3,4,2008,NA,"","F",83,11.4,15.2,NA,NA,"Private","",NA,NA,5,28,1,NA
"43","CCI",3,5,2008,NA,"","F",108,26.8,35.7,NA,NA,"Private","",NA,NA,5,28,1,NA
"44","CCI",3,6,2008,NA,"","F",70,6.6,8.8,NA,NA,"Private","",NA,NA,5,28,1,NA
"45","CCI",3,7,2008,13,"","F",87,13.3,17.7,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,5,28,1,NA
"46","CCI",3,8,2008,9,"","F",87,13.3,17.7,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,5,28,1,NA
"47","CCI",3,9,2008,NA,"I","F",86,12.8,17.1,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,5,28,1,NA
"48","CCI",3,10,2008,NA,"","M",85,12.3,16.4,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,5,28,1,NA
"49","CCI",3,11,2008,NA,"","F",82,11,14.6,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,5,28,1,NA
"50","CCI",3,12,2008,NA,"","F",89,14.3,19.1,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,5,28,1,NA
"51","CCI",3,13,2008,NA,"","F",84,11.9,15.8,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,5,28,1,NA
"52","CCI",3,14,2008,NA,"","M",81,10.6,14,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,5,28,1,NA
"53","CCI",3,15,2008,9,"","F",84,11.9,15.8,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,5,28,1,NA
"54","CCI",3,16,2008,NA,"","F",83,11.4,15.2,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,5,28,1,NA
"55","CCI",3,17,2008,NA,"","F",82,11,14.6,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,5,28,1,NA
"56","CCI",3,18,2008,9,"","F",94,17.1,22.7,NA,NA,"Charter","ALASKA SPIRIT",525931,NA,5,28,1,NA
"57","CCI",3,19,2008,NA,"","F",94,17.1,22.7,NA,NA,"Charter","BARN DOOR",525931,NA,5,28,1,NA
"58","CCI",3,20,2008,NA,"","F",81,10.6,14,NA,NA,"Charter","BARN DOOR",525931,NA,5,28,1,NA
"59","CCI",3,21,2008,NA,"","F",85,12.3,16.4,NA,NA,"Charter","BARN DOOR",525931,NA,5,28,1,NA
"60","CCI",3,22,2008,NA,"","M",107,26,34.6,NA,NA,"Charter","BARN DOOR",525931,NA,5,28,1,NA
"61","CCI",3,23,2008,NA,"","M",80,10.1,13.5,NA,NA,"Charter","BARN DOOR",525931,NA,5,28,1,NA
"62","CCI",3,24,2008,NA,"","F",95,17.7,23.5,NA,NA,"Charter","BARN DOOR",525931,NA,5,28,1,NA
"63","CCI",3,25,2008,9,"","F",90,14.9,19.8,NA,NA,"Charter","BARN DOOR",525931,NA,5,28,1,NA
"64","CCI",3,26,2008,9,"","F",95,17.7,23.5,NA,NA,"Charter","BARN DOOR",525931,NA,5,28,1,NA
"65","CCI",3,27,2008,10,"","M",79,9.7,13,NA,NA,"Charter","BARN DOOR",525931,NA,5,28,1,NA
"66","CCI",3,28,2008,NA,"","F",88,13.8,18.4,NA,NA,"Charter","BARN DOOR",525931,NA,5,28,1,NA
"67","CCI",3,29,2008,NA,"","F",82,11,14.6,NA,NA,"Charter","BARN DOOR",525931,NA,5,28,1,NA
"68","CCI",3,30,2008,NA,"","F",85,12.3,16.4,NA,NA,"Charter","BARN DOOR",525931,NA,5,28,1,NA
"69","CCI",3,31,2008,14,"","F",121,38.8,51.6,NA,NA,"Charter","REDEEMER",525931,NA,5,28,1,NA
"70","CCI",3,32,2008,7,"","F",72,7.2,9.6,NA,NA,"Charter","REDEEMER",525931,NA,5,28,1,NA
"71","CCI",3,33,2008,NA,"","F",78,9.3,12.4,NA,NA,"Charter","REDEEMER",525931,NA,5,28,1,NA
"72","CCI",3,34,2008,NA,"","F",78,9.3,12.4,NA,NA,"Charter","REDEEMER",525931,NA,5,28,1,NA
"73","CCI",3,35,2008,NA,"","F",88,13.8,18.4,NA,NA,"Charter","REDEEMER",525931,NA,5,28,1,NA
"74","CCI",3,36,2008,NA,"","F",120,37.7,50.2,NA,NA,"Charter","REDEEMER",525931,NA,5,28,1,NA
"75","CCI",3,37,2008,NA,"","F",86,12.8,17.1,NA,NA,"Charter","REDEEMER",525931,NA,5,28,1,NA
"76","CCI",3,38,2008,NA,"","F",96,18.3,24.4,NA,NA,"Charter","REDEEMER",525931,NA,5,28,1,NA
"77","CCI",3,39,2008,NA,"","F",89,14.3,19.1,NA,NA,"Charter","REDEEMER",525931,NA,5,28,1,NA
"78","CCI",3,40,2008,NA,"","F",104,23.7,31.6,NA,NA,"Charter","REDEEMER",525931,NA,5,28,1,NA
"79","CCI",3,41,2008,NA,"","F",81,10.6,14,NA,NA,"Charter","REDEEMER",525931,NA,5,28,1,NA
"80","CCI",3,42,2008,NA,"","M",100,20.9,27.8,NA,NA,"Charter","REDEEMER",525931,NA,5,28,1,NA
"81","CCI",3,43,2008,NA,"","F",91,15.4,20.5,NA,NA,"Charter","GLACIER BEAR",525931,NA,5,28,1,NA
"82","CCI",3,44,2008,NA,"","F",87,13.3,17.7,NA,NA,"Charter","GLACIER BEAR",525931,NA,5,28,1,NA
"83","CCI",3,45,2008,NA,"","F",92,16,21.2,NA,NA,"Charter","GLACIER BEAR",525931,NA,5,28,1,NA
"84","CCI",3,46,2008,NA,"","F",86,12.8,17.1,NA,NA,"Charter","GLACIER BEAR",525931,NA,5,28,1,NA
"85","CCI",3,47,2008,NA,"","M",94,17.1,22.7,NA,NA,"Charter","GLACIER BEAR",525931,NA,5,28,1,NA
"86","CCI",3,48,2008,NA,"","F",80,10.1,13.5,NA,NA,"Charter","GLACIER BEAR",525931,NA,5,28,1,NA
"87","CCI",3,49,2008,12,"","F",117,34.8,46.2,NA,NA,"Charter","GLACIER BEAR",525931,NA,5,28,1,NA
"88","CCI",3,50,2008,NA,"","F",107,26,34.6,NA,NA,"Charter","GLACIER BEAR",525931,NA,5,28,1,NA
"89","CCI",3,51,2008,NA,"","F",101,21.6,28.7,NA,NA,"Charter","GLACIER BEAR",525931,NA,5,28,1,NA
"90","CCI",3,52,2008,NA,"","F",101,21.6,28.7,NA,NA,"Charter","GLACIER BEAR",525931,NA,5,28,1,NA
"91","CCI",3,53,2008,NA,"","F",86,12.8,17.1,NA,NA,"Charter","GLACIER BEAR",525931,NA,5,28,1,NA
"92","CCI",3,54,2008,NA,"","F",85,12.3,16.4,NA,NA,"Charter","GLACIER BEAR",525931,NA,5,28,1,NA
"93","CCI",3,55,2008,NA,"","F",97,18.9,25.2,NA,NA,"Charter","MISS SHIRLEY",525931,NA,5,28,1,NA
"94","CCI",3,56,2008,7,"","F",89,14.3,19.1,NA,NA,"Charter","MISS SHIRLEY",525931,NA,5,28,1,NA
"95","CCI",3,57,2008,NA,"","F",88,13.8,18.4,NA,NA,"Charter","MISS SHIRLEY",525931,NA,5,28,1,NA
"96","CCI",3,58,2008,NA,"","F",93,16.5,22,NA,NA,"Charter","MISS SHIRLEY",525931,NA,5,28,1,NA
"97","CCI",3,59,2008,NA,"","F",98,19.6,26,NA,NA,"Charter","MISS SHIRLEY",525931,NA,5,28,1,NA
"98","CCI",3,60,2008,NA,"","F",121,38.8,51.6,NA,NA,"Charter","MISS SHIRLEY",525931,NA,5,28,1,NA
"99","CCI",4,1,2008,NA,"","F",76,8.6,11.4,NA,NA,"Private","",525931,NA,5,29,2,NA
"100","CCI",4,2,2008,NA,"","F",80,10.1,13.5,NA,NA,"Private","",525931,NA,5,29,2,NA
"101","CCI",4,3,2008,NA,"","F",83,11.4,15.2,NA,NA,"Private","",525931,NA,5,29,2,NA
"102","CCI",4,4,2008,NA,"","F",83,11.4,15.2,NA,NA,"Private","",525931,NA,5,29,2,NA
"103","CCI",4,5,2008,11,"","F",78,9.3,12.4,NA,NA,"Private","",525931,NA,5,29,2,NA
"104","CCI",4,6,2008,NA,"","F",82,11,14.6,NA,NA,"Private","",525931,NA,5,29,2,NA
"105","CCI",4,7,2008,NA,"","F",86,12.8,17.1,NA,NA,"Private","",525931,NA,5,29,2,NA
"106","CCI",4,8,2008,NA,"","F",83,11.4,15.2,NA,NA,"Private","",525931,NA,5,29,2,NA
"107","CCI",4,9,2008,NA,"","F",79,9.7,13,NA,NA,"Private","",525931,NA,5,29,2,NA
"108","CCI",4,10,2008,NA,"","F",83,11.4,15.2,NA,NA,"Private","",525931,NA,5,29,2,NA
"109","CCI",4,11,2008,NA,"","F",115,32.9,43.7,NA,NA,"Charter","GAMEFISHER",525931,NA,5,29,2,NA
"110","CCI",4,12,2008,NA,"","F",95,17.7,23.5,NA,NA,"Charter","GAMEFISHER",525931,NA,5,29,2,NA
"111","CCI",4,13,2008,10,"","F",88,13.8,18.4,NA,NA,"Charter","GAMEFISHER",525931,NA,5,29,2,NA
"112","CCI",4,14,2008,NA,"","F",90,14.9,19.8,NA,NA,"Charter","GAMEFISHER",525931,NA,5,29,2,NA
"113","CCI",4,15,2008,NA,"","F",82,11,14.6,NA,NA,"Charter","GAMEFISHER",525931,NA,5,29,2,NA
"114","CCI",4,16,2008,NA,"","F",85,12.3,16.4,NA,NA,"Charter","GAMEFISHER",525931,NA,5,29,2,NA
"115","CCI",4,17,2008,12,"","F",94,17.1,22.7,NA,NA,"Charter","GAMEFISHER",525931,NA,5,29,2,NA
"116","CCI",4,18,2008,NA,"","M",87,13.3,17.7,NA,NA,"Charter","GAMEFISHER",525931,NA,5,29,2,NA
"117","CCI",4,19,2008,NA,"","F",79,9.7,13,NA,NA,"Charter","GAMEFISHER",525931,NA,5,29,2,NA
"118","CCI",4,20,2008,10,"","F",85,12.3,16.4,NA,NA,"Charter","GAMEFISHER",525931,NA,5,29,2,NA
"119","CCI",5,1,2008,8,"","M",77,9,11.9,NA,NA,"Charter","4 ACES",525931,NA,6,2,1,NA
"120","CCI",5,2,2008,NA,"","F",79,9.7,13,NA,NA,"Charter","4 ACES",525931,NA,6,2,1,NA
"121","CCI",5,3,2008,NA,"","F",98,19.6,26,NA,NA,"Charter","4 ACES",525931,NA,6,2,1,NA
"122","CCI",5,4,2008,NA,"","F",82,11,14.6,NA,NA,"Charter","4 ACES",525931,NA,6,2,1,NA
"123","CCI",5,5,2008,NA,"","M",75,8.2,10.9,NA,NA,"Charter","4 ACES",525931,NA,6,2,1,NA
"124","CCI",6,1,2008,8,"","F",78,9.3,12.4,NA,NA,"Charter","SPARE CHANGE",515937,NA,6,3,2,NA
"125","CCI",6,2,2008,9,"","F",91,15.4,20.5,NA,NA,"Charter","SPARE CHANGE",515937,NA,6,3,2,NA
"126","CCI",6,3,2008,6,"","F",77,9,11.9,NA,NA,"Charter","SPARE CHANGE",515937,NA,6,3,2,NA
"127","CCI",6,4,2008,8,"","F",79,9.7,13,NA,NA,"Charter","SPARE CHANGE",515937,NA,6,3,2,NA
"128","CCI",6,5,2008,7,"","F",65,5.2,6.9,NA,NA,"Charter","PEACE OF MIND",515938,NA,6,3,2,NA
"129","CCI",6,6,2008,NA,"","F",88,13.8,18.4,NA,NA,"Charter","PEACE OF MIND",515938,NA,6,3,2,NA
"130","CCI",6,7,2008,NA,"","F",78,9.3,12.4,NA,NA,"Charter","PEACE OF MIND",515938,NA,6,3,2,NA
"131","CCI",6,8,2008,NA,"","F",74,7.9,10.5,NA,NA,"Charter","PEACE OF MIND",515938,NA,6,3,2,NA
"132","CCI",6,9,2008,NA,"","F",86,12.8,17.1,NA,NA,"Charter","PEACE OF MIND",515938,NA,6,3,2,NA
"133","CCI",6,10,2008,10,"","F",83,11.4,15.2,NA,NA,"Charter","PEACE OF MIND",515938,NA,6,3,2,NA
"134","CCI",6,11,2008,9,"","F",76,8.6,11.4,NA,NA,"Charter","PEACE OF MIND",515938,NA,6,3,2,NA
"135","CCI",7,1,2008,9,"","F",77,9,11.9,NA,NA,"Charter","SKYWALKER",525931,NA,6,7,2,NA
"136","CCI",7,2,2008,9,"","F",84,11.9,15.8,NA,NA,"Charter","SKYWALKER",525931,NA,6,7,2,NA
"137","CCI",7,3,2008,NA,"","F",81,10.6,14,NA,NA,"Charter","SKYWALKER",525931,NA,6,7,2,NA
"138","CCI",7,4,2008,NA,"","F",79,9.7,13,NA,NA,"Charter","SKYWALKER",525931,NA,6,7,2,NA
"139","CCI",7,5,2008,NA,"","F",78,9.3,12.4,NA,NA,"Charter","SKYWALKER",525931,NA,6,7,2,NA
"140","CCI",7,6,2008,NA,"","F",85,12.3,16.4,NA,NA,"Charter","SKYWALKER",525931,NA,6,7,2,NA
"141","CCI",7,7,2008,NA,"","F",76,8.6,11.4,NA,NA,"Charter","SKYWALKER",525931,NA,6,7,2,NA
"142","CCI",7,8,2008,NA,"","F",74,7.9,10.5,NA,NA,"Charter","SKYWALKER",525931,NA,6,7,2,NA
"143","CCI",7,9,2008,NA,"","F",72,7.2,9.6,NA,NA,"Charter","SKYWALKER",525931,NA,6,7,2,NA
"144","CCI",7,10,2008,NA,"","F",77,9,11.9,NA,NA,"Charter","SKYWALKER",525931,NA,6,7,2,NA
"145","CCI",7,11,2008,NA,"","F",76,8.6,11.4,NA,NA,"Charter","SKYWALKER",525931,NA,6,7,2,NA
"146","CCI",7,12,2008,NA,"","F",80,10.1,13.5,NA,NA,"Charter","CATCHER II",525931,NA,6,7,2,NA
"147","CCI",7,13,2008,NA,"","F",97,18.9,25.2,NA,NA,"Charter","CATCHER II",525931,NA,6,7,2,NA
"148","CCI",7,14,2008,13,"","F",111,29.3,39,NA,NA,"Charter","CATCHER II",525931,NA,6,7,2,NA
"149","CCI",7,15,2008,NA,"","M",98,19.6,26,NA,NA,"Charter","CATCHER II",525931,NA,6,7,2,NA
"150","CCI",7,16,2008,NA,"","F",86,12.8,17.1,NA,NA,"Charter","CATCHER II",525931,NA,6,7,2,NA
"151","CCI",7,17,2008,NA,"","F",78,9.3,12.4,NA,NA,"Charter","CATCHER II",525931,NA,6,7,2,NA
"152","CCI",7,18,2008,NA,"","F",90,14.9,19.8,NA,NA,"Charter","CATCHER II",525931,NA,6,7,2,NA
"153","CCI",7,19,2008,NA,"","F",78,9.3,12.4,NA,NA,"Charter","CATCHER II",525931,NA,6,7,2,NA
"154","CCI",7,20,2008,NA,"","F",94,17.1,22.7,NA,NA,"Charter","CATCHER II",525931,NA,6,7,2,NA
"155","CCI",7,21,2008,NA,"","F",92,16,21.2,NA,NA,"Charter","CATCHER II",525931,NA,6,7,2,NA
"156","CCI",7,22,2008,NA,"I","F",86,12.8,17.1,NA,NA,"Charter","CATCHER II",525931,NA,6,7,2,NA
"157","CCI",7,23,2008,NA,"","F",82,11,14.6,NA,NA,"Charter","CATCHER II",525931,NA,6,7,2,NA
"158","CCI",7,24,2008,NA,"","F",82,11,14.6,NA,NA,"Charter","DREAM CATCHER",525931,NA,6,7,2,NA
"159","CCI",7,25,2008,NA,"","M",85,12.3,16.4,NA,NA,"Charter","DREAM CATCHER",525931,NA,6,7,2,NA
"160","CCI",7,26,2008,NA,"","F",83,11.4,15.2,NA,NA,"Charter","DREAM CATCHER",525931,NA,6,7,2,NA
"161","CCI",7,27,2008,NA,"","F",78,9.3,12.4,NA,NA,"Charter","DREAM CATCHER",525931,NA,6,7,2,NA
"162","CCI",7,28,2008,NA,"","F",90,14.9,19.8,NA,NA,"Charter","DREAM CATCHER",525931,NA,6,7,2,NA
"163","CCI",7,29,2008,NA,"","F",96,18.3,24.4,NA,NA,"Charter","DREAM CATCHER",525931,NA,6,7,2,NA
"164","CCI",8,1,2008,12,"","F",112,30.2,40.1,NA,NA,"Charter","TILT II",525931,NA,6,9,1,NA
"165","CCI",8,2,2008,NA,"","F",88,13.8,18.4,NA,NA,"Charter","TILT II",525931,NA,6,9,1,NA
"166","CCI",8,3,2008,NA,"","F",98,19.6,26,NA,NA,"Charter","TILT II",525931,NA,6,9,1,NA
"167","CCI",8,4,2008,NA,"","F",84,11.9,15.8,NA,NA,"Charter","TILT II",525931,NA,6,9,1,NA
"168","CCI",8,5,2008,NA,"","F",83,11.4,15.2,NA,NA,"Charter","TILT II",525931,NA,6,9,1,NA
"169","CCI",8,6,2008,NA,"","F",85,12.3,16.4,NA,NA,"Charter","TILT II",525931,NA,6,9,1,NA
"170","CCI",8,7,2008,9,"","F",76,8.6,11.4,NA,NA,"Charter","TILT II",525931,NA,6,9,1,NA
"171","CCI",8,8,2008,10,"","F",81,10.6,14,NA,NA,"Charter","TILT II",525931,NA,6,9,1,NA
"172","CCI",8,9,2008,NA,"","F",77,9,11.9,NA,NA,"Charter","TILT II",525931,NA,6,9,1,NA
"173","CCI",8,10,2008,10,"","F",76,8.6,11.4,NA,NA,"Charter","TILT II",525931,NA,6,9,1,NA
"174","CCI",8,11,2008,14,"","F",106,25.2,33.6,NA,NA,"Charter","TILT II",525931,NA,6,9,1,NA
"175","CCI",8,12,2008,10,"","F",82,11,14.6,NA,NA,"Charter","TILT II",525931,NA,6,9,1,NA
"176","CCI",8,13,2008,NA,"","F",84,11.9,15.8,NA,NA,"Charter","MARLY RAE",525931,NA,6,9,1,NA
"177","CCI",8,14,2008,NA,"","F",89,14.3,19.1,NA,NA,"Charter","MARLY RAE",525931,NA,6,9,1,NA
"178","CCI",8,15,2008,NA,"","F",82,11,14.6,NA,NA,"Charter","MARLY RAE",525931,NA,6,9,1,NA
"179","CCI",8,16,2008,NA,"","F",76,8.6,11.4,NA,NA,"Charter","MARLY RAE",525931,NA,6,9,1,NA
"180","CCI",8,17,2008,13,"","F",97,18.9,25.2,NA,NA,"Charter","MARLY RAE",525931,NA,6,9,1,NA
"181","CCI",8,18,2008,NA,"","M",83,11.4,15.2,NA,NA,"Charter","MARLY RAE",525931,NA,6,9,1,NA
"182","CCI",8,19,2008,NA,"","F",98,19.6,26,NA,NA,"Charter","MARLY RAE",525931,NA,6,9,1,NA
"183","CCI",8,20,2008,11,"","F",85,12.3,16.4,NA,NA,"Charter","MARLY RAE",525931,NA,6,9,1,NA
"184","CCI",8,21,2008,NA,"","F",85,12.3,16.4,NA,NA,"Charter","MARLY RAE",525931,NA,6,9,1,NA
"185","CCI",8,22,2008,14,"","M",82,11,14.6,NA,NA,"Charter","MARLY RAE",525931,NA,6,9,1,NA
"186","CCI",8,23,2008,NA,"","F",85,12.3,16.4,NA,NA,"Charter","MARLY RAE",525931,NA,6,9,1,NA
"187","CCI",8,24,2008,8,"","F",82,11,14.6,NA,NA,"Charter","MARLY RAE",525931,NA,6,9,1,NA
"188","CCI",8,25,2008,NA,"","M",89,14.3,19.1,NA,NA,"Charter","SUNSHINE",525931,NA,6,9,1,NA
"189","CCI",8,26,2008,12,"","F",93,16.5,22,NA,NA,"Charter","SUNSHINE",525931,NA,6,9,1,NA
"190","CCI",8,27,2008,14,"","F",87,13.3,17.7,NA,NA,"Charter","SUNSHINE",525931,NA,6,9,1,NA
"191","CCI",8,28,2008,11,"","F",94,17.1,22.7,NA,NA,"Charter","SUNSHINE",525931,NA,6,9,1,NA
"192","CCI",8,29,2008,11,"","F",86,12.8,17.1,NA,NA,"Charter","SUNSHINE",525931,NA,6,9,1,NA
"193","CCI",8,30,2008,9,"","F",87,13.3,17.7,NA,NA,"Charter","SUNSHINE",525931,NA,6,9,1,NA
"194","CCI",8,31,2008,NA,"","M",87,13.3,17.7,NA,NA,"Private","",NA,NA,6,9,1,NA
"195","CCI",8,32,2008,NA,"","F",76,8.6,11.4,NA,NA,"Private","",NA,NA,6,9,1,NA
"196","CCI",8,33,2008,NA,"","F",75,8.2,10.9,NA,NA,"Private","",NA,NA,6,9,1,NA
"197","CCI",8,34,2008,8,"","F",78,9.3,12.4,NA,NA,"Private","",NA,NA,6,9,1,NA
"198","CCI",8,35,2008,NA,"","F",80,10.1,13.5,NA,NA,"Private","",NA,NA,6,9,1,NA
"199","CCI",8,36,2008,9,"","M",75,8.2,10.9,NA,NA,"Private","",NA,NA,6,9,1,NA
"200","CCI",9,1,2008,NA,"","F",90,14.9,19.8,NA,NA,"Private","",515937,NA,6,11,2,NA
"201","CCI",9,2,2008,NA,"","F",82,11,14.6,NA,NA,"Private","",515937,NA,6,11,2,NA
"202","CCI",9,3,2008,NA,"","F",94,17.1,22.7,NA,NA,"Private","",515937,NA,6,11,2,NA
"203","CCI",9,4,2008,NA,"","F",83,11.4,15.2,NA,NA,"Private","",515937,NA,6,11,2,NA
"204","CCI",9,5,2008,NA,"","F",93,16.5,22,NA,NA,"Private","",515937,NA,6,11,2,NA
"205","CCI",9,6,2008,NA,"","F",76,8.6,11.4,NA,NA,"Private","",515937,NA,6,11,2,NA
"206","CCI",9,7,2008,NA,"","F",115,32.9,43.7,NA,NA,"Private","",515939,NA,6,11,2,NA
"207","CCI",9,8,2008,6,"","F",83,11.4,15.2,NA,NA,"Private","",515939,NA,6,11,2,NA
"208","CCI",9,9,2008,8,"","F",81,10.6,14,NA,NA,"Private","",515939,NA,6,11,2,NA
"209","CCI",9,10,2008,NA,"","M",70,6.6,8.8,NA,NA,"Private","",515939,NA,6,11,2,NA
"210","CCI",9,11,2008,NA,"","F",80,10.1,13.5,NA,NA,"Private","",515939,NA,6,11,2,NA
"211","CCI",9,12,2008,6,"","F",83,11.4,15.2,NA,NA,"Private","",515939,NA,6,11,2,NA
"212","CCI",9,13,2008,NA,"","F",73,7.5,10,NA,NA,"Private","",515939,NA,6,11,2,NA
"213","CCI",9,14,2008,9,"","F",106,25.2,33.6,NA,NA,"Private","",515939,NA,6,11,2,NA
"214","CCI",9,15,2008,NA,"","F",94,17.1,22.7,NA,NA,"Private","",515939,NA,6,11,2,NA
"215","CCI",9,16,2008,12,"","M",77,9,11.9,NA,NA,"Charter","SKYWALKER",525931,NA,6,11,2,NA
"216","CCI",9,17,2008,9,"","F",87,13.3,17.7,NA,NA,"Charter","SKYWALKER",525931,NA,6,11,2,NA
"217","CCI",9,18,2008,NA,"","F",86,12.8,17.1,NA,NA,"Charter","SKYWALKER",525931,NA,6,11,2,NA
"218","CCI",9,19,2008,NA,"","F",88,13.8,18.4,NA,NA,"Charter","SKYWALKER",525931,NA,6,11,2,NA
"219","CCI",9,20,2008,NA,"","M",87,13.3,17.7,NA,NA,"Charter","SKYWALKER",525931,NA,6,11,2,NA
